"gene","domain","Method","Significant_in_DE_by_Domain","Significant_in_LRT_results","adj_p_value"
"Vamp5",NA,"LRT_results",FALSE,TRUE,0
"Wbp1",NA,"LRT_results",FALSE,TRUE,0
"Eomes",NA,"LRT_results",FALSE,TRUE,0
"Cdc42ep4",NA,"LRT_results",FALSE,TRUE,0
"Klhl33",NA,"LRT_results",FALSE,TRUE,0
"Itgb8",NA,"LRT_results",FALSE,TRUE,6.54763439917654e-272
"1700109H08Rik",NA,"LRT_results",FALSE,TRUE,4.88436619374562e-241
"Tuba1c",NA,"LRT_results",FALSE,TRUE,6.39232248159544e-232
"Zfp879",NA,"LRT_results",FALSE,TRUE,3.35713305359342e-230
"Xlr3b",NA,"LRT_results",FALSE,TRUE,4.7117026777003e-226
"Lhfp",7,"DE_by_Domain",TRUE,FALSE,1.40161014289741e-220
"Bcar1",NA,"LRT_results",FALSE,TRUE,6.53421470634791e-216
"Shpk",NA,"LRT_results",FALSE,TRUE,1.65961819440306e-211
"Tanc1",7,"DE_by_Domain",TRUE,FALSE,2.38127172200353e-194
"Nrg2",NA,"LRT_results",FALSE,TRUE,6.44570100258872e-193
"1700030K09Rik",NA,"LRT_results",FALSE,TRUE,7.67314652004859e-186
"Dhx37",NA,"LRT_results",FALSE,TRUE,6.94111327752378e-181
"Foxs1",NA,"LRT_results",FALSE,TRUE,1.03878552801158e-176
"Id1",NA,"LRT_results",FALSE,TRUE,1.06636179713835e-176
"Wdr53",NA,"LRT_results",FALSE,TRUE,7.62306208928481e-175
"Glb1l",NA,"LRT_results",FALSE,TRUE,3.26132793742928e-165
"Col6a3",NA,"LRT_results",FALSE,TRUE,5.2185589679712e-165
"Gm47920",NA,"LRT_results",FALSE,TRUE,2.37281293278862e-161
"A430035B10Rik",NA,"LRT_results",FALSE,TRUE,2.13066025014114e-158
"Nadsyn1",NA,"LRT_results",FALSE,TRUE,6.04066798354579e-157
"Camkk2",2,"DE_by_Domain",TRUE,FALSE,1.86844462402242e-156
"Fhdc1",7,"DE_by_Domain",TRUE,FALSE,4.37255740216037e-155
"Bpifb6",NA,"LRT_results",FALSE,TRUE,1.99448265127568e-153
"Cep95",NA,"LRT_results",FALSE,TRUE,2.49100989955782e-152
"Mms22l",NA,"LRT_results",FALSE,TRUE,2.79534720084907e-151
"Gm11423",NA,"LRT_results",FALSE,TRUE,2.5720649646679e-150
"Prkx",NA,"LRT_results",FALSE,TRUE,3.76003591551579e-149
"Lrrc27",NA,"LRT_results",FALSE,TRUE,1.43991234315255e-148
"Trmo",NA,"LRT_results",FALSE,TRUE,1.25778348286408e-147
"Hap1",4,"DE_by_Domain",TRUE,FALSE,1.75129322046462e-147
"Cep72",NA,"LRT_results",FALSE,TRUE,9.33580494287755e-147
"Tmem119",NA,"LRT_results",FALSE,TRUE,2.13806790103765e-146
"Wrap53",NA,"LRT_results",FALSE,TRUE,2.32805986122505e-146
"Gm7628",NA,"LRT_results",FALSE,TRUE,3.08001556615898e-145
"A430010J10Rik",NA,"LRT_results",FALSE,TRUE,5.53583001401993e-144
"Snap47",3,"DE_by_Domain",TRUE,FALSE,1.38027637437888e-142
"Pced1b",NA,"LRT_results",FALSE,TRUE,8.91468245841807e-142
"Gm13056",NA,"LRT_results",FALSE,TRUE,1.622854710518e-140
"Snai3",NA,"LRT_results",FALSE,TRUE,3.30307594537165e-140
"Phf2os1",NA,"LRT_results",FALSE,TRUE,1.39266939225408e-139
"Elmo1",7,"DE_by_Domain",TRUE,FALSE,1.62142625892542e-138
"Zfp366",NA,"LRT_results",FALSE,TRUE,8.6104414515096e-138
"Chrna4",7,"DE_by_Domain",TRUE,FALSE,1.30462515220939e-137
"Atp5e",3,"DE_by_Domain",TRUE,FALSE,3.27227983462925e-136
"Chrnb4",NA,"LRT_results",FALSE,TRUE,4.36093970155582e-136
"Snap47",2,"DE_by_Domain",TRUE,FALSE,9.74583167149142e-136
"Gm16118",NA,"LRT_results",FALSE,TRUE,1.16951204656132e-135
"Chd1",NA,"LRT_results",FALSE,TRUE,1.9767779833136e-135
"Myl2",7,"DE_by_Domain",TRUE,FALSE,3.54130659272556e-134
"Boc",2,"DE_by_Domain",TRUE,FALSE,8.0275043382158e-134
"Calr3",NA,"LRT_results",FALSE,TRUE,2.10492733778741e-133
"9130604C24Rik",NA,"LRT_results",FALSE,TRUE,2.33143037976277e-133
"2410137M14Rik",NA,"LRT_results",FALSE,TRUE,5.40703041107083e-132
"Slc2a12",NA,"LRT_results",FALSE,TRUE,9.92829431673676e-130
"Nmb",NA,"LRT_results",FALSE,TRUE,1.78256842241165e-128
"Gmds",NA,"LRT_results",FALSE,TRUE,3.87936991271363e-128
"Gm36608",NA,"LRT_results",FALSE,TRUE,1.7071479432604e-127
"Stard8",1,"DE_by_Domain",TRUE,FALSE,5.01047384553153e-127
"Sh3gl2",2,"DE_by_Domain",TRUE,FALSE,8.16408174575064e-127
"Rassf10",NA,"LRT_results",FALSE,TRUE,1.43718436267707e-126
"Elmo1",3,"DE_by_Domain",TRUE,FALSE,1.10853526032452e-125
"Camkk2",4,"DE_by_Domain",TRUE,FALSE,1.63259620963291e-125
