"","geneid","theta_Gau1","theta_Gau2","Gamma1","Gamma2","logLik11","logLik21","logLik10","logLik20","Diff","Pvalue","Adjust.Pvalue"
"1","Xkr4",1956.09208151898,1159.78215827599,"4.8657876557988","3.28081481528375",1268.17376939299,1193.043677698,1266.66954385178,1191.34077593928,6.41425459985976,0.0113207839056595,0.0149042491872407
"2","Gm19938",1315.71380121784,277.559116113797,"6.40154918112461","19.999937301512",1163.02738768829,1486.22932686356,1163.01770777638,1486.10569185801,0.266629834919513,0.605601519875314,0.662450419436247
"3","Sox17",201.968923999909,277.559116113797,"2.61181045958565","19.999937347266",908.678630030982,896.78412046953,908.44349134316,894.688334383159,4.66184954838582,0.0308399536463162,0.0388779592993122
"4","Mrpl15",202.122254218451,277.559116113797,"19.9999372993032","2.58703885815622",372.236090453443,337.280261658186,369.617991070984,335.850750729651,8.09522062198801,0.00443821356737197,0.00606885163068024
"5","Lypla1",201.968923999909,277.559116113797,"19.9999373937359","19.9999373698378",277.435521473059,241.344825424642,277.435521105276,241.344825659808,2.65234120888636e-07,0.999589082403959,1
"6","Tcea1",201.89237915337,277.559116113797,"19.998180354293","19.999937338971",348.423093570257,342.645003140645,348.423093564144,342.645003183296,-7.30760802980512e-08,1,1
"7","Rgs20",264.90006186795,277.559116113797,"1.78291062399942","19.9999373604125",373.610869913213,121.157679426762,362.944611513578,85.5184538339851,92.6109679848237,6.36536836425156e-22,2.05925738477049e-21
"8","Atp6v1h",449.98202911338,475.819954475821,"1.25976482505057","1.29294303126408",236.234716358477,283.06188063196,236.104612807855,282.977188120562,0.4295921240398,0.512189154637954,0.564021325059275
"9","Oprk1",406.132067035946,454.375877430724,"0.934522809365762","0.888155241858196",775.565148626812,667.878315692843,774.889748255048,667.048224377482,3.01098337425015,0.0827021041889848,0.0993605821923396
"10","Npbwr1",201.968923999909,394.065167422573,"1.06330752688039","1.45963469224371",1334.86350526818,1091.42278132446,1332.45175995128,1086.75403190156,14.1609894795997,0.000167814002517405,0.000258918031180062
"11","Rb1cc1",468.459365607761,395.724320228438,"2.24672893830156","1.4856986985116",384.420508250986,360.754321387427,381.318649771288,357.75040283258,12.2115540690901,0.000474944545795574,0.000706923494651746
"12","4732440D04Rik",201.968923999909,277.559116113797,"19.9999427998295","19.9999373274749",1329.69700148584,1084.70894459736,1329.69700146836,1084.70894461415,1.38015820994042e-09,0.999970358205097,1
"13","St18",551.598674767092,549.535267435592,"1.70015936542785","1.76967293121829",750.791580525348,704.733817042011,750.759443619375,704.701001516741,0.129904862486001,0.718530701124186,0.780838536955983
"14","Pcmtd1",489.384449622574,327.91147393021,"2.07565110261168","1.02870834253255",290.711852384162,243.874169303585,284.339479722409,238.264191840558,23.96470024956,9.81182471139572e-07,1.75292684895534e-06
"15","Gm26901",580.637212192729,710.459736641204,"5.84453667360446","3.56900725072931",1137.69491432249,1055.28312854781,1137.20540845915,1054.47918478756,2.58689924717964,0.107751093083283,0.127773896001075
"16","Sntg1",352.222056865343,365.764228914754,"1.91267234522339","2.9011567229968",754.899458269148,740.018200983264,753.023899196906,738.209512086153,7.36849593870602,0.00663764285998236,0.00893452853627029
