"gene","domain","Method","Significant_in_DE_by_Domain","Significant_in_LRT_results","adj_p_value"
"Lhfp",7,"DE_by_Domain",TRUE,FALSE,1.40161014289741e-220
"Tanc1",7,"DE_by_Domain",TRUE,FALSE,2.38127172200353e-194
"Camkk2",2,"DE_by_Domain",TRUE,FALSE,1.86844462402242e-156
"Fhdc1",7,"DE_by_Domain",TRUE,FALSE,4.37255740216037e-155
"Hap1",4,"DE_by_Domain",TRUE,FALSE,1.75129322046462e-147
"Snap47",3,"DE_by_Domain",TRUE,FALSE,1.38027637437888e-142
"Elmo1",7,"DE_by_Domain",TRUE,FALSE,1.62142625892542e-138
"Chrna4",7,"DE_by_Domain",TRUE,FALSE,1.30462515220939e-137
"Atp5e",3,"DE_by_Domain",TRUE,FALSE,3.27227983462925e-136
"Snap47",2,"DE_by_Domain",TRUE,FALSE,9.74583167149142e-136
"Myl2",7,"DE_by_Domain",TRUE,FALSE,3.54130659272556e-134
"Boc",2,"DE_by_Domain",TRUE,FALSE,8.0275043382158e-134
"Stard8",1,"DE_by_Domain",TRUE,FALSE,5.01047384553153e-127
"Sh3gl2",2,"DE_by_Domain",TRUE,FALSE,8.16408174575064e-127
"Elmo1",3,"DE_by_Domain",TRUE,FALSE,1.10853526032452e-125
"Camkk2",4,"DE_by_Domain",TRUE,FALSE,1.63259620963291e-125
"Klc2",2,"DE_by_Domain",TRUE,FALSE,3.21845220463632e-118
"Smpd3",8,"DE_by_Domain",TRUE,FALSE,8.32773425575458e-118
"Sh3gl2",8,"DE_by_Domain",TRUE,FALSE,1.56800776886385e-112
"Glra3",4,"DE_by_Domain",TRUE,FALSE,4.57315529511575e-110
"Cdc42",3,"DE_by_Domain",TRUE,FALSE,1.85705602991744e-109
"Wbp2",3,"DE_by_Domain",TRUE,FALSE,1.12077565152658e-108
"Ap3m2",2,"DE_by_Domain",TRUE,FALSE,4.71178151694322e-107
"Plekha7",7,"DE_by_Domain",TRUE,FALSE,5.33731013563443e-102
"Celf5",4,"DE_by_Domain",TRUE,FALSE,3.29370787836155e-100
"Car12",8,"DE_by_Domain",TRUE,FALSE,1.59801821960584e-99
"Camkk2",3,"DE_by_Domain",TRUE,FALSE,2.96389108967552e-98
