"gene","domain","Method","Significant_in_DE_by_Domain","Significant_in_LRT_results","adj_p_value"
"Vamp5",NA,"LRT_results",FALSE,TRUE,0
"Wbp1",NA,"LRT_results",FALSE,TRUE,0
"Eomes",NA,"LRT_results",FALSE,TRUE,0
"Cdc42ep4",NA,"LRT_results",FALSE,TRUE,0
"Klhl33",NA,"LRT_results",FALSE,TRUE,0
"Itgb8",NA,"LRT_results",FALSE,TRUE,6.54763439917654e-272
"1700109H08Rik",NA,"LRT_results",FALSE,TRUE,4.88436619374562e-241
"Tuba1c",NA,"LRT_results",FALSE,TRUE,6.39232248159544e-232
"Zfp879",NA,"LRT_results",FALSE,TRUE,3.35713305359342e-230
"Xlr3b",NA,"LRT_results",FALSE,TRUE,4.7117026777003e-226
"Bcar1",NA,"LRT_results",FALSE,TRUE,6.53421470634791e-216
"Shpk",NA,"LRT_results",FALSE,TRUE,1.65961819440306e-211
"Nrg2",NA,"LRT_results",FALSE,TRUE,6.44570100258872e-193
"1700030K09Rik",NA,"LRT_results",FALSE,TRUE,7.67314652004859e-186
"Dhx37",NA,"LRT_results",FALSE,TRUE,6.94111327752378e-181
"Foxs1",NA,"LRT_results",FALSE,TRUE,1.03878552801158e-176
"Id1",NA,"LRT_results",FALSE,TRUE,1.06636179713835e-176
"Wdr53",NA,"LRT_results",FALSE,TRUE,7.62306208928481e-175
"Glb1l",NA,"LRT_results",FALSE,TRUE,3.26132793742928e-165
"Col6a3",NA,"LRT_results",FALSE,TRUE,5.2185589679712e-165
"Gm47920",NA,"LRT_results",FALSE,TRUE,2.37281293278862e-161
"A430035B10Rik",NA,"LRT_results",FALSE,TRUE,2.13066025014114e-158
"Nadsyn1",NA,"LRT_results",FALSE,TRUE,6.04066798354579e-157
"Bpifb6",NA,"LRT_results",FALSE,TRUE,1.99448265127568e-153
"Cep95",NA,"LRT_results",FALSE,TRUE,2.49100989955782e-152
"Mms22l",NA,"LRT_results",FALSE,TRUE,2.79534720084907e-151
"Gm11423",NA,"LRT_results",FALSE,TRUE,2.5720649646679e-150
"Prkx",NA,"LRT_results",FALSE,TRUE,3.76003591551579e-149
"Lrrc27",NA,"LRT_results",FALSE,TRUE,1.43991234315255e-148
"Trmo",NA,"LRT_results",FALSE,TRUE,1.25778348286408e-147
"Cep72",NA,"LRT_results",FALSE,TRUE,9.33580494287755e-147
"Tmem119",NA,"LRT_results",FALSE,TRUE,2.13806790103765e-146
"Wrap53",NA,"LRT_results",FALSE,TRUE,2.32805986122505e-146
"Gm7628",NA,"LRT_results",FALSE,TRUE,3.08001556615898e-145
"A430010J10Rik",NA,"LRT_results",FALSE,TRUE,5.53583001401993e-144
"Pced1b",NA,"LRT_results",FALSE,TRUE,8.91468245841807e-142
"Gm13056",NA,"LRT_results",FALSE,TRUE,1.622854710518e-140
"Snai3",NA,"LRT_results",FALSE,TRUE,3.30307594537165e-140
"Phf2os1",NA,"LRT_results",FALSE,TRUE,1.39266939225408e-139
"Zfp366",NA,"LRT_results",FALSE,TRUE,8.6104414515096e-138
"Chrnb4",NA,"LRT_results",FALSE,TRUE,4.36093970155582e-136
"Gm16118",NA,"LRT_results",FALSE,TRUE,1.16951204656132e-135
"Chd1",NA,"LRT_results",FALSE,TRUE,1.9767779833136e-135
"Calr3",NA,"LRT_results",FALSE,TRUE,2.10492733778741e-133
"9130604C24Rik",NA,"LRT_results",FALSE,TRUE,2.33143037976277e-133
"2410137M14Rik",NA,"LRT_results",FALSE,TRUE,5.40703041107083e-132
"Slc2a12",NA,"LRT_results",FALSE,TRUE,9.92829431673676e-130
"Nmb",NA,"LRT_results",FALSE,TRUE,1.78256842241165e-128
"Gmds",NA,"LRT_results",FALSE,TRUE,3.87936991271363e-128
"Gm36608",NA,"LRT_results",FALSE,TRUE,1.7071479432604e-127
"Rassf10",NA,"LRT_results",FALSE,TRUE,1.43718436267707e-126
"Hif3a",NA,"LRT_results",FALSE,TRUE,4.56959352474291e-125
"Gm17259",NA,"LRT_results",FALSE,TRUE,2.81610332983467e-121
"Chst14",NA,"LRT_results",FALSE,TRUE,3.41433539277765e-121
"Gm15247",NA,"LRT_results",FALSE,TRUE,1.30412724397585e-120
"Ackr3",NA,"LRT_results",FALSE,TRUE,6.60830306750431e-120
"Gm20383",NA,"LRT_results",FALSE,TRUE,9.24177143541986e-120
"Tnni2",NA,"LRT_results",FALSE,TRUE,6.74984803826141e-116
"Olfr482",NA,"LRT_results",FALSE,TRUE,8.2770859743651e-116
"Zbtb6",NA,"LRT_results",FALSE,TRUE,1.62656756200389e-115
"Helt",NA,"LRT_results",FALSE,TRUE,7.54334896227298e-115
"Gm19426",NA,"LRT_results",FALSE,TRUE,1.23895639405801e-114
"Trim56",NA,"LRT_results",FALSE,TRUE,4.36706076316814e-113
"Ift43",NA,"LRT_results",FALSE,TRUE,4.57138284618142e-112
"Cmtm3",NA,"LRT_results",FALSE,TRUE,1.1384997099601e-111
"Ccdc24",NA,"LRT_results",FALSE,TRUE,4.23513453270876e-111
"Gm9484",NA,"LRT_results",FALSE,TRUE,4.32517925267211e-111
"Hpn",NA,"LRT_results",FALSE,TRUE,6.90825308125845e-111
