"","x","y"
"10_10",2621.14285714286,2636.42857142857
"10_11",2620.33333333333,2890.5
"10_12",2619.71428571429,3134.28571428571
"10_13",2619,3377.5
"10_14",2618.16666666667,3602.5
"10_15",2617.5,3864.75
"10_16",2616.83333333333,4127
"10_17",2616,4370.71428571429
"10_18",2615.16666666667,4614
"10_19",2614.5,4876.5
"10_20",2613.83333333333,5138.66666666667
"10_21",2613,5382.28571428571
"10_22",2612.16666666667,5625.83333333333
"10_23",2611.66666666667,5850.5
"10_24",2610.875,6113
"10_25",2610,6375
"10_26",2609.28571428571,6618.71428571429
"10_27",2608.66666666667,6862.33333333333
"10_28",2607.875,7124.5
"10_29",2607,7386.83333333333
"10_30",2606.28571428571,7630.28571428571
"10_31",2605.66666666667,7874
"10_32",2605,8079.8
"10_9",2622,2366
"11_10",2875.6,2629.2
"11_11",2865,2882
"11_12",2854.4,3134.8
"11_13",2863.5,3388
"11_14",2863,3612.5
"11_15",2871.8,3865.6
"11_16",2861.25,4118.25
"11_17",2850.8,4371.4
"11_18",2860,4624
"11_19",2868.8,4877.2
"11_20",2858.25,5130.25
"11_21",2847.8,5382.8
"11_22",2857,5636
"11_23",2856,5860.75
"11_24",2865.2,6113.6
"11_25",2854.75,6366.5
"11_26",2844.2,6619.4
"11_27",2853,6872.5
"11_28",2901.28571428571,7125.28571428571
"11_29",2900.66666666667,7369
"11_30",2899.875,7631.25
"11_31",2899,7893.5
"11_32",2898.28571428571,8137.14285714286
"11_8",2916,2180
"11_9",2866.5,2376
"12_10",3110.28571428571,2629.71428571429
"12_11",3109.66666666667,2873.33333333333
"12_12",3108.875,3135.5
"12_13",3108,3398
"12_14",3107.33333333333,3622.66666666667
"12_15",3106.71428571429,3866.28571428571
"12_16",3106,4109.83333333333
"12_17",3105.125,4372
"12_18",3104.33333333333,4634.5
"12_19",3103.57142857143,4877.71428571429
"12_20",3102.83333333333,5121.5
"12_21",3102,5383.75
"12_22",3101.33333333333,5646
"12_23",3100.66666666667,5870.83333333333
"12_24",3099.85714285714,6114.28571428571
"12_25",3099.16666666667,6358
"12_26",3098.375,6620
"12_27",3097.5,6882.5
"12_28",3135.8,7126
"12_29",3145,7379
"12_30",3153.8,7632.2
"12_31",3143.25,7884.75
"12_32",3142.75,8109.75
"12_33",3093,8250
"12_8",3136.25,2194.25
"12_9",3111,2386.16666666667
"13_10",3344.8,2630.4
"13_11",3354,2883.5
"13_12",3362.8,3136.2
"13_13",3401.16666666667,3380
"13_14",3400.66666666667,3604.83333333333
"13_15",3399.875,3867
"13_16",3399,4129.5
"13_17",3398.28571428571,4372.85714285714
"13_18",3397.66666666667,4616.5
"13_19",3396.875,4878.75
"13_20",3396,5141
"13_21",3395.28571428571,5384.57142857143
"13_22",3394.66666666667,5628
"13_23",3394,5853
"13_24",3393.125,6115.25
"13_25",3392.33333333333,6377.5
"13_26",3391.71428571429,6621.14285714286
"13_27",3391,6864.5
"13_28",3390.125,7127
"13_29",3389.33333333333,7389
"13_30",3388.71428571429,7632.71428571429
"13_31",3388,7876.16666666667
"13_32",3387.2,8082.2
"13_8",3372.33333333333,2181
"13_9",3355.5,2377.75
"14_10",3599.125,2631.25
"14_11",3598.33333333333,2893.5
"14_12",3597.71428571429,3137.14285714286
"14_13",3646,3390
"14_14",3645,3615
"14_15",3654.2,3867.8
