"","x","y"
"10_10",2599.5,2635.625
"10_11",2598.83333333333,2897.83333333333
"10_12",2597.83333333333,3122.5
"10_13",2613.5,3356.5
"10_14",2645,3619
"10_15",2654.2,3871.8
"10_16",2643.25,4124.75
"10_17",2632.8,4377.4
"10_18",2642,4630.25
"10_19",2650.6,4883.2
"10_20",2640.25,5136
"10_21",2639.25,5360.75
"10_22",2628.8,5613.6
"10_23",2637.75,5866.5
"10_24",2646.6,6119.2
"10_25",2636,6372.25
"10_26",2635.25,6596.75
"10_27",2683,6794
"10_9",2600.16666666667,2373.5
"11_10",2892.71428571429,2636.57142857143
"11_11",2892,2880
"11_12",2891.16666666667,3104.83333333333
"11_13",2890.5,3367
"11_14",2889.33333333333,3629.16666666667
"11_15",2888.71428571429,3872.57142857143
"11_16",2888,4116.16666666667
"11_17",2887,4378.25
"11_18",2886.16666666667,4640.5
"11_19",2885.28571428571,4883.85714285714
"11_20",2884.66666666667,5127.5
"11_21",2883.66666666667,5352.16666666667
"11_22",2883,5614.375
"11_23",2882,5876.5
"11_24",2881.28571428571,6120.14285714286
"11_25",2880.5,6363.5
"11_26",2879.5,6625.75
"11_27",2898.4,6873
"11_8",2959.33333333333,2187.33333333333
"11_9",2893.66666666667,2393
"12_10",3137.25,2609.25
"12_11",3112,2876
"12_12",3135.5,3115
"12_13",3144.6,3367.8
"12_14",3134,3620.75
"12_15",3123.4,3873.4
"12_16",3132,4126.25
"12_17",3141.2,4379.2
"12_18",3130.75,4632
"12_19",3120,4884.8
"12_20",3129,5137.5
"12_21",3128,5362.25
"12_22",3137.2,5615.2
"12_23",3126.5,5868
"12_24",3115.8,6120.8
"12_25",3125,6373.75
"12_26",3133.6,6626.6
"12_27",3123.25,6879.25
"12_28",3138.66666666667,7095
"12_8",3138.75,2159.75
"12_9",3121.66666666667,2393.66666666667
"13_10",3381.66666666667,2600.5
"13_11",3380.875,2863
"13_12",3380,3125
"13_13",3379.28571428571,3368.57142857143
"13_14",3378.16666666667,3612
"13_15",3377.5,3874.25
"13_16",3376.83333333333,4136.5
"13_17",3375.71428571429,4379.85714285714
"13_18",3375.16666666667,4623.5
"13_19",3374.125,4885.625
"13_20",3373.33333333333,5147.83333333333
"13_21",3372.5,5372.5
"13_22",3371.71428571429,5616
"13_23",3371,5859.5
"13_24",3370,6121.625
"13_25",3369.33333333333,6383.83333333333
"13_26",3368.28571428571,6627.28571428571
"13_27",3367.66666666667,6870.83333333333
"13_28",3366.75,7133
"13_29",3366,7302
"13_8",3383,2188.5
"13_9",3382.5,2376
"14_10",3626,2611
"14_11",3635.2,2863.8
"14_12",3624.25,3116.5
"14_13",3613.8,3369.4
"14_14",3623,3622
"14_15",3631.6,3875.2
"14_16",3621,4127.75
"14_17",3610.4,4380.8
"14_18",3619.5,4633.5
"14_19",3628.4,4886.4
"14_20",3617.75,5139.25
"14_21",3617,5364
"14_22",3606.4,5616.8
"14_23",3615.25,5869.75
"14_24",3624.2,6122.6
"14_25",3613.75,6375.25
"14_26",3603,6628.2
"14_27",3612,6881
"14_28",3620.8,7133.8
"14_29",3610.5,7330.5
"14_8",3617.8,2133.4
"14_9",3627,2386
"15_10",3870.33333333333,2621
"15_11",3869.71428571429,2864.57142857143
"15_12",3869,3108
"15_13",3854,3370.14285714286
"15_14",3867,3632.5
"15_15",3866.28571428571,3875.71428571429
"15_16",3865.66666666667,4119.33333333333
"15_17",3864.625,4381.5
"15_18",3863.83333333333,4643.66666666667
"15_19",3863,4868.5
"15_20",3862.28571428571,5111.85714285714
"15_21",3861.33333333333,5355.5
"15_22",3860.5,5617.625
"15_23",3859.83333333333,5879.83333333333
"15_24",3858.85714285714,6123.28571428571
"15_25",3858.16666666667,6366.83333333333
"15_26",3843.14285714286,6612.85714285714
"15_27",3876,6876.2
"15_28",3855.57142857143,7134.57142857143
"15_29",3854.66666666667,7378.16666666667
"15_30",3952,7528
"15_7",3873,1890.66666666667
"15_8",3872,2134
"15_9",3871.33333333333,2396.5
"16_10",4115,2612.5
"16_11",4104.4,2865.4
"16_12",4113,3118
